     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:45:56     -757.652679       4.2338       0.0000       0.1000       1.0000
Sella   1 02:46:07     -757.886362       4.2338       0.0000       0.1000       0.9127
Sella   2 02:46:09     -757.960271       3.3467       0.0000       0.1000       0.6416
Sella   3 02:46:11     -757.805745       1.8712       0.0000       0.1000       1.1744
Sella   4 02:46:12     -757.826160       1.2952       0.0000       0.1000       1.7878
Sella   5 02:46:14     -757.853046       0.6284       0.0000       0.1000       0.5251
Sella   6 02:46:15     -757.881156       0.9842       0.0000       0.1000       1.1946
Sella   7 02:46:17     -757.894275       0.4945       0.0000       0.1000       0.5982
Sella   8 02:46:19     -757.915334       0.8818       0.0000       0.1000       1.2758
Sella   9 02:46:20     -757.930478       0.4284       0.0000       0.1000       0.5963
Sella  10 02:46:21     -757.951889       0.5242       0.0000       0.1000       1.3650
Sella  11 02:46:22     -757.968559       0.2819       0.0000       0.1000       1.0186
Sella  12 02:46:23     -757.980674       0.4132       0.0000       0.1000       0.9810
Sella  13 02:46:23     -757.987419       0.3049       0.0000       0.1000       1.3580
Sella  14 02:46:24     -757.990151       0.1850       0.0000       0.1000       0.4885
Sella  15 02:46:25     -757.994171       0.4455       0.0000       0.1000       1.2173
Sella  16 02:46:26     -757.996775       0.1293       0.0000       0.1000       1.4467
Sella  17 02:46:27     -758.000262       0.1068       0.0000       0.1000       0.8094
Sella  18 02:46:27     -758.003191       0.3612       0.0000       0.1000       1.1550
Sella  19 02:46:28     -758.005569       0.1337       0.0000       0.1000       1.4849
Sella  20 02:46:29     -758.007874       0.0992       0.0000       0.1000       1.2249
Sella  21 02:46:29     -758.008779       0.1025       0.0000       0.1000       1.2000
Sella  22 02:46:30     -758.009573       0.1100       0.0000       0.1000       0.9666
Sella  23 02:46:31     -758.010167       0.0764       0.0000       0.1000       1.2390
Sella  24 02:46:31     -758.010797       0.0683       0.0000       0.1000       1.2327
Sella  25 02:46:32     -758.011321       0.0506       0.0000       0.1000       1.4748
