     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:54:32     -757.471667       2.2272       0.0000       0.1000       1.0000
Sella   1 02:54:40     -757.693790       2.2272       0.0000       0.1150       0.9931
Sella   2 02:54:41     -757.850400       1.7432       0.0000       0.1150       0.8788
Sella   3 02:54:42     -757.896469       0.8078       0.0000       0.1150       0.8953
Sella   4 02:54:43     -757.907544       0.4271       0.0000       0.1150       1.1292
Sella   5 02:54:44     -757.909556       0.1629       0.0000       0.1150       0.9418
Sella   6 02:54:45     -757.910110       0.0880       0.0000       0.1150       1.2108
Sella   7 02:54:46     -757.910409       0.0511       0.0000       0.1150       1.3096
