     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:34:27     -751.599436       7.1948       0.0000       0.1000       1.0000
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:35:09     -751.599436       7.1948       0.0000       0.1000       1.0000
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:36:02     -751.599436       7.1948       0.0000       0.1000       1.0000
Sella   1 02:36:22     -752.810597       7.1948       0.0000       0.1000       0.9618
Sella   2 02:36:26     -753.796741       4.5022       0.0000       0.1000       0.9513
Sella   3 02:36:35     -754.269203       2.5732       0.0000       0.1000       0.9371
Sella   4 02:36:38     -754.535235       1.8232       0.0000       0.1000       0.9521
Sella   5 02:36:44     -754.698186       1.1683       0.0000       0.1000       0.9305
Sella   6 02:36:46     -754.791242       0.6922       0.0000       0.1150       0.9828
Sella   7 02:36:52     -754.826238       0.3860       0.0000       0.1150       1.0112
Sella   8 02:36:54     -754.845688       0.3540       0.0000       0.1150       1.4253
Sella   9 02:36:59     -754.879607       0.2959       0.0000       0.1150       1.1914
Sella  10 02:37:01     -754.898164       0.4146       0.0000       0.1150       1.1969
Sella  11 02:37:06     -754.910007       0.2644       0.0000       0.1150       1.4260
Sella  12 02:37:09     -754.928552       0.2553       0.0000       0.1150       1.3197
Sella  13 02:37:15     -754.950163       0.3373       0.0000       0.1150       1.2711
Sella  14 02:37:17     -754.975927       0.3846       0.0000       0.1150       1.5689
Sella  15 02:37:23     -755.038007       0.2850       0.0000       0.1150       1.4816
Sella  16 02:37:27     -755.153489       0.3992       0.0000       0.1150       1.1534
Sella  17 02:38:04     -755.296550       0.5575       0.0000       0.1150       1.1948
Sella  18 02:38:09     -755.481766       0.5477       0.0000       0.1150       0.8193
Sella  19 02:38:27     -755.673961       0.7314       0.0000       0.1150       0.9463
Sella  20 02:38:30     -755.737527       0.9610       0.0000       0.1150       0.3595
Sella  21 02:38:41     -755.887042       1.8389       0.0000       0.1150       1.1267
Sella  22 02:38:44     -756.029646       1.4817       0.0000       0.1150       1.1189
Sella  23 02:39:24     -756.163564       0.6024       0.0000       0.1150       1.0431
Sella  24 02:39:26     -756.081535       0.3667       0.0000       0.0747      -0.2991
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:40:03     -751.599436       7.1948       0.0000       0.1000       1.0000
Sella   1 02:40:21     -752.109226       7.1948       0.0000       0.1000       1.0000
Sella   2 02:40:43     -753.292229       7.0717       0.0000       0.1000       0.7675
Sella   3 02:40:48     -753.897403       6.0277       0.0000       0.1000       0.7607
Sella   4 02:40:56     -754.500664       5.1268       0.0000       0.1000       0.9519
Sella   5 02:41:00     -754.796344       2.8516       0.0000       0.1150       0.9687
Sella   6 02:41:21     -754.977333       0.9469       0.0000       0.1150       1.4820
Sella   7 02:41:25     -755.333436       0.7161       0.0000       0.1150       0.9641
Sella   8 02:41:39     -755.851032       1.1963       0.0000       0.1150       0.8184
Sella   9 02:41:44     -756.429045       2.2836       0.0000       0.1322       0.9839
Sella  10 02:41:53     -757.031237       2.0797       0.0000       0.1521       0.9690
Sella  11 02:41:56     -757.431952       2.0279       0.0000       0.1521       0.8817
Sella  12 02:42:01     -757.611276       1.2401       0.0000       0.1521       0.6148
Sella  13 02:42:05     -757.776230       1.1623       0.0000       0.1521       0.9634
Sella  14 02:42:11     -757.847827       0.4034       0.0000       0.1521       1.0447
Sella  15 02:42:14     -757.869682       0.3771       0.0000       0.1521       0.6300
Sella  16 02:42:21     -757.886112       0.3879       0.0000       0.1521       0.4677
Sella  17 02:42:24     -757.897013       0.4965       0.0000       0.1521       0.9209
Sella  18 02:42:29     -757.898679       0.1637       0.0000       0.1521       0.6531
Sella  19 02:42:32     -757.900161       0.1004       0.0000       0.1521       1.3583
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:51:15     -757.256439       2.5889       0.0000       0.1000       1.0000
Sella   1 02:51:24     -757.501462       2.5889       0.0000       0.1150       0.9890
Sella   2 02:51:24     -757.727351       2.3142       0.0000       0.1150       0.9394
Sella   3 02:51:27     -757.855191       1.6672       0.0000       0.1150       0.8653
Sella   4 02:51:28     -757.895183       0.6179       0.0000       0.1150       0.9772
Sella   5 02:51:31     -757.899643       0.4631       0.0000       0.1150       0.2304
Sella   6 02:51:32     -757.909639       0.3509       0.0000       0.1150       1.0884
Sella   7 02:51:33     -757.910647       0.0889       0.0000       0.1150       1.2631
Sella   8 02:51:34     -757.910939       0.0851       0.0000       0.1150       1.1897
