     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:43:18     -757.550695       2.4820       0.0000       0.1000       1.0000
     Step     Time          Energy         fmax         cmax       rtrust          rho
Sella   0 02:43:40     -757.550695       2.4820       0.0000       0.1000       1.0000
Sella   1 02:43:56     -757.788330       2.4820       0.0000       0.1000       0.9363
Sella   2 02:43:59     -757.877602       1.1027       0.0000       0.1000       0.6724
Sella   3 02:44:01     -757.892257       0.4943       0.0000       0.1000       0.9345
Sella   4 02:44:03     -757.893228       0.3116       0.0000       0.0049       0.1819
Sella   5 02:44:05     -757.897179       0.3522       0.0000       0.0049       1.1693
Sella   6 02:44:07     -757.898485       0.1299       0.0000       0.0049       0.8999
Sella   7 02:44:09     -757.899845       0.1322       0.0000       0.0049       1.1333
Sella   8 02:44:11     -757.900971       0.1003       0.0000       0.0049       1.0685
Sella   9 02:44:13     -757.901972       0.0924       0.0000       0.0057       1.0086
Sella  10 02:44:14     -757.903025       0.0827       0.0000       0.0065       1.0010
Sella  11 02:44:15     -757.904158       0.0735       0.0000       0.0075       1.0014
Sella  12 02:44:17     -757.905354       0.0644       0.0000       0.0086       0.9990
Sella  13 02:44:19     -757.906568       0.0550       0.0000       0.0099       0.9968
